Description,TIMESTAMP
Statistics: FilesDownloaded:235; TotalNumberOfFiles:921012; SnapshotSizeBytes:3213336389450; ReusedBytes:3213218149166; DownloadedBytes:117780410; RunTimeInSec:241; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:43:48.492118Z
Statistics: FilesDownloaded:39; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150293200; ReusedBytes:1151149664589; DownloadedBytes:158086; RunTimeInSec:343; ManifestTimeSec:16; CleanupTimeSec:1; CSWDoneSizeBytes:1540945058781; FilesFilterOutBySize:0,2020-07-02T11:44:45.466867Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640249687; ReusedBytes:1148639799344; DownloadedBytes:0; RunTimeInSec:178; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:46:09.4583793Z
Statistics: FilesDownloaded:90; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336406977; ReusedBytes:3213054122446; DownloadedBytes:281889310; RunTimeInSec:251; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:48:00.260897Z
Statistics: FilesDownloaded:30; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640260355; ReusedBytes:1148634385009; DownloadedBytes:5346768; RunTimeInSec:188; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452429344; FilesFilterOutBySize:0,2020-07-02T11:49:18.7652162Z
Statistics: FilesDownloaded:34; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150303340; ReusedBytes:1151144345011; DownloadedBytes:5346768; RunTimeInSec:345; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540945058781; FilesFilterOutBySize:0,2020-07-02T11:50:31.7182402Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336417752; ReusedBytes:3213330548285; DownloadedBytes:5340012; RunTimeInSec:244; ManifestTimeSec:17; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:52:05.4563179Z
Statistics: FilesDownloaded:38; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640266938; ReusedBytes:1148532830893; DownloadedBytes:106966897; RunTimeInSec:189; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T11:52:28.4626727Z
Statistics: FilesDownloaded:24; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640266761; ReusedBytes:1148639939698; DownloadedBytes:0; RunTimeInSec:178; ManifestTimeSec:11; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T11:55:27.1122521Z
Statistics: FilesDownloaded:23; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336415262; ReusedBytes:3213335987474; DownloadedBytes:0; RunTimeInSec:242; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T11:56:07.8613776Z
Statistics: FilesDownloaded:42; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150309855; ReusedBytes:1151042269637; DownloadedBytes:107561981; RunTimeInSec:353; ManifestTimeSec:15; CleanupTimeSec:1; CSWDoneSizeBytes:1540945053478; FilesFilterOutBySize:0,2020-07-02T11:56:26.4548145Z
Statistics: FilesDownloaded:24; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640266776; ReusedBytes:1148639838903; DownloadedBytes:6748; RunTimeInSec:185; ManifestTimeSec:17; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T11:58:33.3449614Z
Statistics: FilesDownloaded:22; TotalNumberOfFiles:921013; SnapshotSizeBytes:3213336415154; ReusedBytes:3213335985854; DownloadedBytes:0; RunTimeInSec:245; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:00:13.5871029Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:704049; SnapshotSizeBytes:1148640267003; ReusedBytes:1148639800162; DownloadedBytes:6976; RunTimeInSec:179; ManifestTimeSec:13; CleanupTimeSec:0; CSWDoneSizeBytes:1543452424041; FilesFilterOutBySize:0,2020-07-02T12:01:33.5462618Z
Statistics: FilesDownloaded:27; TotalNumberOfFiles:704723; SnapshotSizeBytes:1151150310002; ReusedBytes:1151149832683; DownloadedBytes:6748; RunTimeInSec:343; ManifestTimeSec:18; CleanupTimeSec:0; CSWDoneSizeBytes:1540945053478; FilesFilterOutBySize:0,2020-07-02T12:02:11.2299784Z
